,texto
4110,“You gallop with a loose rein.”
4111,"“Pace gives life,” was the riposte."
4112,“I shall write it in my diary to-night.”
4113,“What?”
4114,“That a burnt child loves the fire.”
4115,   “I am not even singed. My wings are untouched.”
4116,"“You use them for everything, except flight.”"
4117,“Courage has passed from men to women. It is a new experience for us.”
4118,“You have a rival.”
4119,“Who?”
4120,"He laughed. “Lady Narborough,” he whispered. “She perfectly adores him.”"
4121,“You fill me with apprehension. The appeal to antiquity is fatal to us who are romanticists.”
4122,“Romanticists! You have all the methods of science.”
4123,“Men have educated us.”
4124,“But not explained you.”
4125,"“Describe us as a sex,” was her challenge."
4126,“Sphinxes without secrets.”
4127,"She looked at him, smiling. “How long Mr. Gray is!” she said. “Let us go and help him. I have not yet told him"
4128,the colour of my frock.”
4129,"“Ah! you must suit your frock to his flowers, Gladys.”"
4130,“That would be a premature surrender.”
4131,“Romantic art begins with its climax.”
4132,“I must keep an opportunity for retreat.”
4133,“In the Parthian manner?”
4134,“They found safety in the desert. I could not do that.”
4135,"“Women are not always allowed a choice,” he answered, but hardly had he ﬁnished the sentence before from"
4136,"the far end of the conservatory came a stiﬂed groan, followed by the dull sound of a heavy fall. Everybody"
4137,"started up. The duchess stood motionless in horror. And with fear in his eyes, Lord Henry rushed through the"
4138,flapping palms to find Dorian Gray lying face downwards on the tiled floor in a deathlike swoon.
4139,"He was carried at once into the blue drawing-room and laid upon one of the sofas. After a short time, he came"
4140,to himself and looked round with a dazed expression.
4141,"“What has happened?” he asked. “Oh! I remember. Am I safe here, Harry?” He began to tremble."
4142,"“My dear Dorian,” answered Lord Henry, “you merely fainted. That was all. You must have overtired yourself."
4143,You had better not come down to dinner. I will take your place.”
4144,"“No, I will come down,” he said, struggling to his feet. “I would rather come down. I must not be alone.”"
4145,"He went to his room and dressed. There was a wild recklessness of gaiety in his manner as he sat at table,"
4146,"but now and then a thrill of terror ran through him when he remembered that, pressed against the window of the"
4147,"conservatory, like a white handkerchief, he had seen the face of James Vane watching him."
4148,                                             CHAPTER XVIII.
4149,"The next day he did not leave the house, and, indeed, spent most of the time in his own room, sick with a wild"
4150,"terror of dying, and yet indiﬀerent to life itself. The consciousness of being hunted, snared, tracked down, had"
4151,"begun to dominate him. If the tapestry did but tremble in the wind, he shook. The dead leaves that were blown"
4152,against the leaded panes seemed to him like his own wasted resolutions and wild regrets. When he closed his
4153,"eyes, he saw again the sailor’s face peering through the mist-stained glass, and horror seemed once more to"
4154,lay its hand upon his heart.
4155,But perhaps it had been only his fancy that had called vengeance out of the night and set the hideous shapes
4156,"of punishment before him. Actual life was chaos, but there was something terribly logical in the imagination. It"
4157,was the imagination that set remorse to dog the feet of sin. It was the imagination that made each crime bear its
4158,"misshapen brood. In the common world of fact the wicked were not punished, nor the good rewarded. Success"
4159,"was given to the strong, failure thrust upon the weak. That was all. Besides, had any stranger been prowling"
4160,"round the house, he would have been seen by the servants or the keepers. Had any foot-marks been found on"
4161,"the ﬂower-beds, the gardeners would have reported it. Yes, it had been merely fancy. Sibyl Vane’s brother had"
4162,"not come back to kill him. He had sailed away in his ship to founder in some winter sea. From him, at any rate,"
4163,"he was safe. Why, the man did not know who he was, could not know who he was. The mask of youth had"
4164,saved him.
4165,"And yet if it had been merely an illusion, how terrible it was to think that conscience could raise such fearful"
4166,"phantoms, and give them visible form, and make them move before one! What sort of life would his be if, day"
4167,"and night, shadows of his crime were to peer at him from silent corners, to mock him from secret places, to"
4168,"whisper in his ear as he sat at the feast, to wake him with icy ﬁngers as he lay asleep! As the thought crept"
4169,"through his brain, he grew pale with terror, and the air seemed to him to have become suddenly colder. Oh! in"
4170,what a wild hour of madness he had killed his friend! How ghastly the mere memory of the scene! He saw it all
4171,"again. Each hideous detail came back to him with added horror. Out of the black cave of time, terrible and"
4172,"swathed in scarlet, rose the image of his sin. When Lord Henry came in at six o’clock, he found him crying as"
4173,one whose heart will break.
4174,"It was not till the third day that he ventured to go out. There was something in the clear, pine-scented air of"
4175,that winter morning that seemed to bring him back his joyousness and his ardour for life. But it was not merely
4176,the physical conditions of environment that had caused the change. His own nature had revolted against the
4177,excess of anguish that had sought to maim and mar the perfection of its calm. With subtle and ﬁnely wrought
4178,"temperaments it is always so. Their strong passions must either bruise or bend. They either slay the man, or"
4179,themselves die. Shallow sorrows and shallow loves live on. The loves and sorrows that are great are destroyed
4180,"by their own plenitude. Besides, he had convinced himself that he had been the victim of a terror-stricken"
4181,"imagination, and looked back now on his fears with something of pity and not a little of contempt."
4182,"After breakfast, he walked with the duchess for an hour in the garden and then drove across the park to join"
4183,the shooting-party. The crisp frost lay like salt upon the grass. The sky was an inverted cup of blue metal. A thin
4184,"film of ice bordered the flat, reed-grown lake."
4185,"At the corner of the pine-wood he caught sight of Sir Geoﬀrey Clouston, the duchess’s brother, jerking two"
4186,"spent cartridges out of his gun. He jumped from the cart, and having told the groom to take the mare home,"
4187,made his way towards his guest through the withered bracken and rough undergrowth.
4188,"“Have you had good sport, Geoffrey?” he asked."
4189,"“Not very good, Dorian. I think most of the birds have gone to the open. I dare say it will be better after lunch,"
4190,when we get to new ground.”
4191,"Dorian strolled along by his side. The keen aromatic air, the brown and red lights that glimmered in the wood,"
4192,"the hoarse cries of the beaters ringing out from time to time, and the sharp snaps of the guns that followed,"
4193,fascinated him and ﬁlled him with a sense of delightful freedom. He was dominated by the carelessness of
